Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
100 user dengan percobaan 1 kali bersamaan,100,7334,6677,7929,351.03,0.000%,12.58336,423.98,1.67,34502.2
50 user dengan percobaan 10 kali,500,768,46,3739,970.79,0.000%,56.13562,1891.43,7.46,34502.6
100 user dengan percobaan 5 kali,500,1639,186,3361,823.29,0.000%,53.75188,1811.12,7.14,34502.7
250 user dengan percobaan 3 kali,750,4073,101,21007,4829.29,3.467%,28.04682,914.83,3.60,33400.9
1000 user dengan percobaan 2 kali,2000,13878,24,55638,13600.28,34.600%,34.60627,794.10,3.01,23497.4
3000 user dengan percobaan 1 kali,3000,41405,276,162152,46920.62,60.800%,18.32598,271.19,0.95,15153.0
TOTAL,6850,22914,24,162152,36134.45,37.109%,19.94648,442.07,1.67,22694.5
