Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
100 user dengan percobaan 1 kali bersamaan,100,7099,291,13976,3990.65,0.000%,7.06814,238.88,0.92,34607.8
50 user dengan percobaan 10 kali,500,6624,398,7596,1238.69,0.000%,7.10863,240.25,0.93,34607.7
100 user dengan percobaan 5 kali,500,12424,340,14171,3310.36,0.000%,7.15441,241.79,0.94,34607.7
250 user dengan percobaan 3 kali,750,19508,239,72146,13980.15,16.267%,8.58802,246.71,0.94,29416.5
1000 user dengan percobaan 2 kali,2000,20950,361,68523,9062.11,72.350%,25.97099,292.04,0.94,11514.7
3000 user dengan percobaan 1 kali,3000,26082,350,114430,18095.54,79.500%,25.75992,232.48,0.69,9241.3
TOTAL,6850,21169,239,114430,14990.99,57.723%,14.25441,225.33,0.79,16187.5
