Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
100 user dengan percobaan 1 kali bersamaan,100,944,51,1893,545.72,0.000%,51.51984,1184.52,11.62,23543.4
50 user dengan percobaan 10 kali,500,546,40,886,153.35,0.000%,76.11509,1750.04,17.17,23543.8
100 user dengan percobaan 5 kali,500,1077,43,1562,394.65,0.000%,71.12376,1635.27,16.04,23543.7
250 user dengan percobaan 3 kali,750,2268,40,10002,2595.97,0.000%,60.09134,1381.61,13.56,23543.6
1000 user dengan percobaan 2 kali,2000,7744,13,25790,7837.53,21.650%,63.37738,1178.02,11.20,19033.4
3000 user dengan percobaan 1 kali,3000,16232,41,30468,7506.11,51.867%,93.50455,1163.35,10.15,12740.3
TOTAL,6850,9750,13,30468,9048.49,29.036%,55.74499,952.42,8.92,17495.4
