Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
100 user dengan percobaan 1 kali bersamaan,100,682,150,1195,308.81,0.000%,80.06405,2692.53,10.48,34436.8
50 user dengan percobaan 10 kali,500,1356,84,9069,2474.64,0.000%,34.86994,1172.66,4.56,34436.8
100 user dengan percobaan 5 kali,500,2944,85,10841,3860.18,0.000%,31.41888,1056.60,4.11,34436.7
250 user dengan percobaan 3 kali,750,5747,70,21010,5786.49,5.733%,24.49700,780.32,3.02,32618.0
1000 user dengan percobaan 2 kali,2000,12989,66,21047,8752.35,53.600%,46.20325,785.68,2.81,17413.0
3000 user dengan percobaan 1 kali,3000,40845,5297,162122,47400.76,58.067%,18.30496,286.02,1.00,16000.2
TOTAL,6850,22634,66,162122,35827.16,41.708%,23.27802,481.76,1.78,21192.8
