Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
100 user dengan percobaan 1 kali bersamaan,100,6993,35,7648,842.86,0.000%,12.98870,298.64,2.93,23544.1
50 user dengan percobaan 10 kali,500,1323,38,8691,2363.62,0.000%,35.57706,817.98,8.03,23543.7
100 user dengan percobaan 5 kali,500,2001,902,6112,1944.82,0.000%,45.47935,1045.67,10.26,23543.9
250 user dengan percobaan 3 kali,750,6273,158,21009,6630.62,12.400%,24.03769,492.04,4.75,20960.7
1000 user dengan percobaan 2 kali,2000,15136,34,21375,8398.78,63.350%,46.30380,467.92,3.83,10347.9
3000 user dengan percobaan 1 kali,3000,25589,935,109616,18975.76,66.300%,26.94159,256.11,2.05,9734.3
TOTAL,6850,16658,34,109616,16291.90,48.891%,20.26783,264.44,2.34,13360.2
