Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
100 user dengan percobaan 1 kali bersamaan,100,7142,393,13900,3942.13,0.000%,7.16846,242.08,0.95,34580.9
50 user dengan percobaan 10 kali,500,6619,365,7059,1176.34,0.000%,7.11086,240.14,0.94,34580.7
100 user dengan percobaan 5 kali,500,12451,204,14411,3401.33,0.000%,7.13970,241.11,0.95,34580.7
250 user dengan percobaan 3 kali,750,18428,293,65639,7421.59,28.267%,10.01603,250.11,0.95,25570.7
1000 user dengan percobaan 2 kali,2000,20551,304,65753,7274.43,75.000%,28.65699,298.18,0.95,10654.9
3000 user dengan percobaan 1 kali,3000,25482,379,96104,15559.52,82.333%,30.67610,249.28,0.72,8321.1
TOTAL,6850,20674,204,96104,12703.96,61.051%,13.52750,199.58,0.70,15108.0
